model,display_model,item_id,candidate_hash,context,target_question,reference,candidate,score_gpt4o,score_gemini_2_5_pro,score_qwen3_omni,q_ensemble,q_no_family
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0001,49417a4db2a6f5ef785ae208c776077b424ab7cd31ce979e845e232235cdbef1,"As you know Whitney has been a one woman wrecking ball, strong arming every college student who dares cross her path in adjoining Tinder.Judging by these numbers guys, they're telling their friends, Okay",What should the man with his hand on the woman's shoulder say?,so I'd like to officially announce that Whitney is the newest and certainly the most feminine cofounder of Tider.,I did it!,0,0,25,8.333333333333334,8.333333333333334
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0002,94376a2b538c3b3599dc7df0067b83fc2fdc53af22993930f5ddb130a8e0e65a,"When we filed the suit.You know, you said we had a strong case and we do you demonstrated a pattern of abuse that is systemic and company wide right and the picture of these text messages paint well, Justin Mat would exactly cut a sympathetic figure for a jury I mean he was suspended which is why we were able to get this settlement figure so high Now",What should the woman sitting in the middle say?,"the money is nothing.It's not nothing to me, it's a crazy amount to me, but for them it is a slap on the wrist","No, I can't do it.",0,25,0,8.333333333333334,8.333333333333334
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0014,4a0ad57afaa8decd153786a8f745d963e2e256e471720a39f2502691b3e422c1,These are gonna be some tough times. You can call me anytime， even if it's the middle of the night. Here's the number at my uncle's farm.,What should the woman say?,Thanks.,"I understand what you're saying, but I can't do it.",50,0,0,16.666666666666668,16.666666666666668
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0117,8794b2a66bcbb83be821b6f62d8c1d572a897f0a57a77ba1ba9b4992fc233021,"Would you like to open your present? I'd love to. I have a present for you, too... under the Christmas tree. Well, you open your gifts first. All right. Merry Christmas and a Happy New Year. Your friend, Alex. He made the statue at school. 'Mighty Casey at the Bat'. What a riot! I'll keep it forever. It's so cute. All right,",What should the woman say?,Now you open your present.,It's so cute!,50,0,25,25.0,25.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0118,3ac5ef63865d2af66185a61706922c7ef0a26210cd4d2c586152ac94bb5a3463,"Thanks again for the presents. You're welcome. I'll play your tape on my way home. Well, I'll have a whole new version of it this week, with backup singers and full orchestration and the works. It sounds like your dreams are coming true even before ekeko has his first cigarette. Oh-ah-and let me know how the recording session goes!",What should the woman say?,I will.,"I love you too, I always do.",0,0,0,0.0,0.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0140,b7eeb7ad9e55748dabcdc6108f24f85d6d66052e9ad41d8b7c13ddcc7c09b7a3,"Well? What does that mean? Oh, don't be coy with your godmother. Are you two an item yet? Well, he asked me to spend New Year's Eve with him. And I'm going. Good.",What should the old woman say?,So it looks like it's going to be an interesting new year.,I hope you like it.,50,50,75,58.333333333333336,58.333333333333336
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0145,762e5e7c5c5a491a990d10ce9cfb5ae5c882eca3a63f52e272bc0012c6b0b4f8,"Vincent,your father and I have talked. You and",What should the child say?,I will.,"I'm sorry, but I can't do that.",50,0,25,25.0,25.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0147,e82983dfe50fa04a22964e3985e25ef564066b4f18f7b1d299d9c716a1eea1b8,"Tell me about your book. Oh, it's not finished yet, but I have some of the pictures. Would you like to see them?",What should the woman say?,Yes. I'd like that.,I love you.,0,0,0,0.0,0.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0149,54300a0bbfd46aa9b469bc2c5c4b0785d4945396ca207bae55fcfffe89c1ee6c,"Excuse me. Can you help me? Sure, what do you want? Where is 83 Wooster Street? That's easy. Walk to the corner. Then make a left turn. Then walk two blocks to the traffic light. Make another left to Wooster. Thank you. To the corner and then a left?",What should the man in the blue shirt say?,Yeah. A left.,"No, no, no!",0,0,0,0.0,0.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0151,0ac3fa1b8bbe3cde185d6886f0581cb14a0df2b17f6ccb62ebd54f058a6c93ba,"Hello, Harry. It's nice to meet you. Nice to meet you, Susan. Sorry I'm late. The traffic. The parking. I was lost.",What should the woman say?,Don't worry about being late. It's fine.,"Thank you, that's very thoughtful of you.",75,0,75,50.0,50.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0155,134126850aa040a9fd556160e9e9c17cb63fdd661f88c3f4ecd4b8bc95149afb,"Two years ago,my wife died. You miss her. I do... yes, but l have Michelle... and with time... Is there anyone else in your life? No, not yet.What about you?  Oh, I date occasionally, but my work keeps me busy. Harry. Yes? I'd like to meet your daughter someday. Does that mean that I can see you again?",What should the man say?,Of course.,"I'm sorry, I didn't mean to offend you.",25,0,25,16.666666666666668,16.666666666666668
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0174,682e30db540beb0d58d04ced24fad817e27d07e535201b555afad267d6a321d0,"I need your special talent for handling special matters. Like what special matters? Well, I have a scheduling problem. Yes? I have three tonsillectomies set for Friday with Dr.Earl. Yes? I need to fit a fourth operation into his schedule. And... I know you can do it. Well, I'll try to arrange the scheduled, Dr.Stewart. But it's not going to be easy.",What should the man say?,I know you'll be able to take care.,"That's good, that's great!",50,50,75,58.333333333333336,58.333333333333336
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0184,3ffe2659f893daf7731ffdb865e8dfeff440759f3611ffaccda7401def33ea7e,"Thank you, Mrs. Martinelli. Thanks so much. My pleasure. Give my best to your parents. Your father's a wonderful doctor, Richard. He took care of my daughter when she was a child. He's the best pediatrician in Westchester.",What should the man say?,"Thanks Mrs. Martinelli, I'll give them your regards.","Sorry, ma'am.",0,0,25,8.333333333333334,8.333333333333334
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0188,373aa3952f171049095b5f4c01c35eaf575a52d8cf836fe0bddbab53cb4c4f2f,"You like living in New York, don't you? Oh I love it, it's so convenient. I can take the bus to work...or the subway...or a taxi. And there's so much to do. Lots of movie houses and the theater. I know what you mean. I'd like to live in the city, but living in New Jersey in the suburbs is better for Michel. Trees, grass.",What should the woman say?,There's a lot of good things about suburban living.,"No, no, I don't want to do that.",0,0,0,0.0,0.0
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0194,c55566fd2b17f15d8d934d6b08bf1eb199dec2526f6a389f21a9ac83475abfe0,"What's this for? Just because. How's the baby? Fast asleep. I'm sorry, I missed him. I had to work late. What are the flowers for, Richard? Five years of happiness, Happy anniversary our anniversary. But our anniversary isn't until Saturday.",What should the man say?,I couldn't wait.,"Thank you, I love it.",75,0,25,33.333333333333336,33.333333333333336
baichuan_omni_1_5,Baichuan-Omni-1.5,video_0200,b98f38603b067087ab0b0e00ac4a55483cae5955ef67c84bdd6120efbb09ec9f,"The mailman just drops a mail in our box, Grandpa. Oh probably a lot of advertising and bills. You were right, grandpa. Advertising, bills, bills, advertising.",What should the elderly man say?,"Yes, just like I said, Robbie. Nothing interesting.","No, you're wrong.",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0001,58ad14fe9de83fe228d3e8c7a8ed4978e36034abc4cc6003db00ba0d10cf6e3a,"As you know Whitney has been a one woman wrecking ball, strong arming every college student who dares cross her path in adjoining Tinder.Judging by these numbers guys, they're telling their friends, Okay",What should the man with his hand on the woman's shoulder say?,so I'd like to officially announce that Whitney is the newest and certainly the most feminine cofounder of Tider.,"""We did it!""",50,50,25,41.666666666666664,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0002,b505eb6b17b78f354c9a76afecfd6f7378ad9fab7da5fda46e41b104de3ec4d0,"When we filed the suit.You know, you said we had a strong case and we do you demonstrated a pattern of abuse that is systemic and company wide right and the picture of these text messages paint well, Justin Mat would exactly cut a sympathetic figure for a jury I mean he was suspended which is why we were able to get this settlement figure so high Now",What should the woman sitting in the middle say?,"the money is nothing.It's not nothing to me, it's a crazy amount to me, but for them it is a slap on the wrist","""Are you sure about this?""",25,50,25,33.333333333333336,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0003,9ea8f6f5ea7d5319fb14491eb6490671cb56af8c3a227001a0bf11b0b618e64d,"All right, all right, your sandwich for the cheese toasie, the bag of scratchings and a chocolate bar. Come on, I'm robbing myself. I don't want to swap it.  All right, all right, here's what I'll do. The toastie, the scratchings, a choccy bar and...a roast dinner with all the trimmings. How long has that been in there? Come on, I'll throw in the briefeases well. Fine, just take it. Lovely.",What should the woman in green say?,Pleasure doing business with you.,"""Who wants some?""",25,50,25,33.333333333333336,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0012,7d30e7f07096d7eddc19fbb54164c6e510e0d75f85d11a49ba7d670baf2ba416,"Good morning! Good morning. Mrs Collins, Ofsted. Here to see Mr Barker for the inspection. Certainly. One moment. Morning, Mr Barker. I've got a lady here to see you. Mrs Collins, Ofsted. Certainly. I'll let her know. Unfortunately, Mr Barker has been detained at the vets. He sends his apologies and asks if you'd mind showing yourself around? Of course.",What should the woman in yellow say?,Here's a map for yourself.,"I'm sorry, I have to take this call.",25,0,0,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0015,58a250854cba10ffb8b6cec43d43b7b20f749695dba4f0f70849e53e2bf34e93,"Does the name Harvey Carlson ring a bell? Oh, yes, Harvey Carlson, I remember. He said I should call him. He is the publisher of the Carlson Publishing Company. He said they need a new book of photographs and he really liked my concept. So why don't you call him in the morning? Do you think I have enough to show him? I've been through every section with you, Richard. It's quite complete. And now that you're satisfied with the performing art section, I think you should show it to Mr. Carlson.",What should the man say?,"You're right, My family album USA feels right. I'll call in the morning and set up an appointment to see him.","""I'm sorry.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0016,2cdc89c4c983433e3dbc88c276d0bfbe498bce01daf66589351872a941096106,"Okay, let's take a look. Good, very good. Family album U.S.A, is an excellent title. If you had to describe the book in one sentence, how would you do it? Well, I describe it as a book, which is a portrait of the United States, the places, the people, mostly the people. The things they do, the ways they live, the places they visit and the landmarks, a photographic journey.",What should the man with gray hair say?,These are wonderful.,"""I'm sorry, I don't follow.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0021,a26b1e69691259e47446c2a80f70396dd931c6960ae3d6cd4ca50701f31e27ce,"But if Boswell wins, he'll be an important decision maker on the school board, and he doesn't know anything about our children's education. Who's running against him? Nobody, that's the problem. Well it sounds to me like Carter Boswell is going to win the seat on the board. Oh, not if I can stop him! And how are you going to stop him?",What should the woman say?,I don't know. Maybe I'll run against him.,"""I'm sorry, I didn't mean to upset you.""",25,0,0,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0024,d47306bbc1c9d000acf63f8249d489aa2fbe0b49126623034bc786a14ff9ec43,"A lot of people would like my help. Do you have a story? I'm planning to run for the school board. Against Carter Boswell? Yes. Well, that is news. Will you announce that I'm running? Sure, but I need some information.",What should the woman say?,Of course.,"""I'm sorry, I don't know what to say.""",50,0,25,25.0,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0025,97e94c50e9de6de9ea6f0d43939d4e6ff0701527749d2f1b39f930ce6d7c1e65,"You have to go on television, too. Boswell's a powerful speaker. You can be too, your ideas are good ones.",What should the woman say?,I don't know. I'm not sure I'm up to it.,"""I'm not going to be a part of this.""",25,25,25,25.0,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0026,6d2040d168277b495264a903da53326403b5ca69bd101ed731b31ae9d9497fbb,"Hello, Mr. Maxwell. How are you? I just called to tell you that you are very impressive, you lost the election, but you won the attention of the residents of Riverdal,e of Boswell, and of me.",What should the woman say?,"Thank you, Mr. Maxwell, I appreciate your kind words.","""Hello?""",25,0,0,8.333333333333334,12.5
